Headcount ID,Hiring status,Employee Name,Job title,Job role,Division,Department,Job level,Location,Actual start date,Offer acceptance date,Hiring quarter,Actual pay currency,Employee type,Actual pay rate,Actual salary,Actual commission,Actual bonus amount,Actual bonus percentage,Actual equity
ID_9460,Hired,EMP_5464,"Senior Account Executive, Startups",Platform Principal,No Division,IT,IC3,Sydney,07-06-2026,04-17-2026,FY27 Q2,AUD,Full time,YEAR,"190,000","190,000",0.0,0.0,673
ID_6834,Hired,EMP_3171,Data Platform & Engineering Intern,Technical Architect,No Division,Marketing,IC2,Boston,01-04-2027,03-24-2026,FY27 Q2,USD,Intern,YEAR,"135,200",0,0.0,0.0,0
ID_2641,Hired,EMP_3536,Analytics Engineer,Technical Architect,No Division,Marketing,IC5,Austin,03-16-2026,02-27-2026,,USD,Full time,YEAR,"240,000",0,24000.0,10.0,0
ID_1118,Hired,EMP_1370,Software Engineer,Security Strategist,No Division,Sales,IC4,Boston,06-08-2026,05-13-2026,FY27 Q1,USD,Full time,YEAR,"336,000",0,33600.0,10.0,"4,500"
ID_3147,Hired,EMP_7856,"Account Executive, Majors",Sales Engineer,No Division,IT,IC4,Austin,04-06-2026,03-24-2026,FY27 Q1,USD,Full time,YEAR,"175,000","175,000",0.0,0.0,0
ID_3842,Hired,EMP_0530,Senior Forward-Deployed Engineer,,No Division,Operations,IC3,Edinburgh,06-08-2026,04-06-2026,FY27 Q1,GBP,Full time,YEAR,"115,000",0,8625.0,7.5,578
ID_0938,Hired,EMP_1429,Senior Accountant,Finance Partner,No Division,Marketing,IC3,Boston,06-01-2026,04-20-2026,FY27 Q2,USD,Full time,YEAR,"142,500",0,7125.0,5.0,550
ID_6896,Hired,EMP_9772,"FP&A Manager, R&D",Data Coordinator,No Division,Marketing,IC4,Boston,06-22-2026,05-29-2026,FY27 Q2,USD,Full time,YEAR,"210,000",0,15750.0,7.5,"1,320"
ID_8998,Hired,EMP_0939,"Developer Success Engineer, EMEA",Solutions Designer,No Division,Data,IC3,Madrid,06-08-2026,04-06-2026,FY27 Q1,EUR,Full time,YEAR,"110,000",0,5500.0,5.0,863
ID_8030,Hired,EMP_1960,"Senior Account Executive, Startups",,No Division,IT,IC4,Austin,05-11-2026,04-20-2026,FY27 Q2,USD,Full time,YEAR,"145,000","145,000",0.0,0.0,0
ID_4745,Hired,EMP_4387,Solutions Architect,Security Partner,No Division,Data,IC4,Austin,06-08-2026,04-10-2026,,USD,Full time,YEAR,"106,500","35,500",0.0,0.0,0
ID_5253,Hired,EMP_7447,"FP&A Manager, GTM",Data Coordinator,No Division,Marketing,IC4,Boston,04-06-2026,03-13-2026,FY27 Q1,USD,Full time,YEAR,"210,000",0,15750.0,7.5,0
ID_4630,Hired,EMP_0831,"VDR, Startups",Marketing Manager,No Division,Marketing,IC1,Austin,06-08-2026,04-16-2026,FY27 Q2,USD,Full time,YEAR,"63,000","42,000",0.0,0.0,0
ID_3188,Hired,EMP_2866,Content Engineer,Software Principal,No Division,Finance,IC3,Boston,06-08-2026,05-15-2026,FY27 Q2,USD,Full time,YEAR,"200,000",0,10000.0,5.0,755
ID_8024,Hired,EMP_1698,"Senior Manager, Solutions Architect",Security Partner,No Division,Data,M4,Austin,05-26-2026,04-10-2026,FY26 Q4,USD,Full time,YEAR,"245,000","105,000",0.0,0.0,0
ID_3409,Hired,EMP_7456,Pricing Product Manager,Solutions Architect,No Division,Business Development,IC4,Boston,06-15-2026,05-29-2026,FY27 Q2,USD,Full time,YEAR,0,0,0.0,0.0,0
ID_8671,Hired,EMP_0513,Senior Security Engineer,Platform Lead,No Division,Legal,IC4,Boston,04-27-2026,03-25-2026,FY27 Q1,USD,Full time,YEAR,"260,000",0,19500.0,7.5,0
ID_7910,Hired,EMP_0384,"GSI & Consultancies, Partner Lead",Data Architect,No Division,Business Development,IC5,Austin,06-08-2026,05-11-2026,FY27 Q1,USD,Full time,YEAR,"245,000","105,000",0.0,0.0,0
ID_1732,Hired,EMP_5048,"Account Executive, Startups",Platform Principal,No Division,IT,IC2,Sydney,07-06-2026,05-13-2026,FY27 Q1,AUD,Full time,YEAR,"115,000",0,0.0,0.0,"3,000"
ID_3353,Offer stage,EMP_3561,"Solutions Architect, Commercial Greenfield",Security Partner,No Division,Data,IC3,Boston,08-03-2026,,FY27 Q2,USD,Full time,YEAR,"83,000","27,667",0.0,0.0,300
